1,1,1-trichloroethane|20837
6-monoacetyl morphine|606B3
Acetaldehyde|21404
Acetaminophen|60130
Acetone|21506
Acetyl fentanyl|6041
Albuterol|68010
Alcohol , benzyl|6B0B0
Alcohol, isopropyl|21007
Alcohol, methyl|21002
Alcohol, ethyl|21005
Amantadine|55B20
Allopurinol|B7020
Alprazolam|64520
Aminophylline|69520
Amitriptyline|62250
Amlodipine|6023
Ammonia|110750
Amobarbital|61350
Amozicillin|54620
Amphetamine|65000 
Ampicillin|54640
Amyl nitrate|81530
Androgen|A0500 
Antidepressant, NOS|62100 
Apomorphine|85610 
Aripiprazole|6026 
Arsenic|11500 
Atenolol|80370 
Aspirin|60320 
Atomoxetine|6040
Atracurium|68720
Atropine|67770  
Azide|6014 
AZT|55B60 
Baclofen|68780 
Barbital|613BO
Barbiturate (NOS)|61300 
Benzene|20705
Benzodiazepine, NOS|64500 
Benzoylecgonine|6B722        
Benztropine|67510 
Bismuth|12500 
Brompheniramine|51620
Bupivacaine|6B010
Buprenorphine|60A10 
Bupropion|6016
Buspirone|64210
Butabarbital|61370
Butane|20522                                                                    
Butyryl fentanyl|6035 
Cadmium|12600
Caffeine|65550 
Calcium|14300 
Camphor|6B702
Carbamazepine|61110 
Carbenicillin|54910 
Carbon Monoxide/Carboxyhemoglobin|10520 
Carisoprodol|68790 
Cephalosporin|53000 
Chloral hydrate|64220
Chlordiazepoxide|64530 
Chloroethane|6B712 
Chloroform|20821  
Chlorophene|C2AOC 
Chlorpheniramine|51630 
Chlorpromazine (Thorazine)|62910 
Citalopram (Celexa)|6013
Clomipramine|6011 
Clonazepam|64510
Clonidine|81130 
Clozapine|6012
Cocaethylene|6B721
Cocaine|6B720
Codeine|60640
Colchicine|60170 
Corticosteroid|A0100
Cyanide|10550       
Cyclobenzaprine|687C0
Desipramine|62270
Dextroamphetamine|65020 
Dextromethorphan|88130
Diazepam|64555
Dicyclomine|677A0
Difluoroethane|20844 
Digoxin|80330
Diltiazem|803A0
Diphenhydramine|51450 
Diphenylhydantoin (Dilantin)|61640 
Disulfuram(Antabuse)|B70AO 
Donepezil|16027 
Doxepin|62280 
Doxylamine|51480 
Droperidol|63210                                                                        
Duloxetine|6025 
EDDP (2-ethylidine-1,5-dimethyl-3,3-diphenylpyrrolidine)|6042 
Ephedrine|68050 
Erythromycin|52A00 
Eszopiclone/zopiclone|6031
Ethanol|21005 
Ethyl Acetate|21634 
Ethyl chloride|6B712 
Ethylene Glycol|21301
Ethylone|6039 
Etizolam|6036 
Felbamate|6029 
Fentanyl|60650 
Flecainide|803FO 
Fluoxetine|62290 
Fluvoxamine|6034
Flurazepam|64550 
Formaldehyde/Formic acid|21402 
Freon|20980 
Furanyl fentanyl|6038 
Gabapentin|6008 
Gamma hydroxybuteric acid|16020 
Gasoline|20280 
Glue|20005 
Glutethimide|64260 
Glyburide|A2440 
Glycol (NOS)|21300 
Glycol, ethylene|21301 
Guaifenesin|88310  
Haloperidol|63220  
Halothane|6A112
Helium|17100
Heroin|60720 
Hydralazine|81180 
Hydrate, chloral|64220 
Hydrochloric acid|10220 
Hydrochlorothiazide|72260 
Hydrocodone|60660 
